English,Spanish,
you,tú,
I or I .,Yo o yo.,
to,a,
the,el,
a or A .,a o a.,
and,y,
that,eso,
it,él,
of,de,
me,a mí,
what,qué,
is,es,
in,en,
this,este,
know,saber,
I'm,Soy,
for,para,
no,No,
have,tener,
my,mi,
don't,no,
just,justo,
not,no,
do,hacer,
be,ser,
on,en,
your,su,
was,era,
we,nosotros,
it's,es,
with,con,
so,entonces,
but,pero,
all,todo,
well,Bueno,
are,son,
he,él,
oh,Vaya,
about,acerca de,
right,bien,
you're,estás,
get,conseguir,
here,aquí,
out,afuera,
going,yendo,
like,como,
yeah,sí,
if,si,
her,su,
she,ella,
can,poder,
up,arriba,
want,desear,
think,pensar,
that's,eso es,
now,ahora,
go,ir,
him,a él,
at,en,
how,cómo,
got,consiguió,
there,allá,
one,uno,
did,hizo,
why,por qué,
see,ver,
come,venir,
good,bien,
they,ellos,
really,en realidad,
as,como,
would,haría,
look,mirar,
when,cuando,
time,tiempo,
will,voluntad,
okay,bueno,(see also ok)
back,atrás,
can't,no poder,
mean,significar,
tell,decir,
I'll,Enfermo,
from,de,
hey,ey,
were,eran,
he's,él es,
could,podría,
didn't,no,
yes,Sí,
his,su,
been,estado,
or,o,
something,algo,
who,OMS,
because,porque,
some,alguno,
had,tenía,
then,entonces,
say,decir,
ok,OK,(see also okay)
take,llevar,
an,un,
way,forma,
us,a nosotros,
little,pequeño,
make,hacer,
need,necesidad,
gonna,ir a,
never,nunca,
we're,eran,
too,también,
love,amar,
she's,Ella es,
I've,He,
sure,seguro,
them,a ellos,
more,más,
over,encima,
our,nuestro,
sorry,Lo siento,
where,dónde,
what's,qué,
let,dejar,
thing,cosa,
am,soy,
maybe,tal vez,
down,abajo,
man,hombre,
has,tiene,
uh,oh,
very,muy,
by,por,
there's,hay,
should,debería,
anything,cualquier cosa,
said,dicho,
much,mucho,
any,cualquier,
life,vida,
even,incluso,
off,apagado,
please,por favor,
doing,haciendo,
thank,agradecer,
give,dar,
only,solo,
thought,pensamiento,
help,ayuda,
two,dos,
talk,hablar,
people,gente,
god,dios,
still,aún,
wait,esperar,
into,en,
find,encontrar,
nothing,nada,
again,de nuevo,
things,cosas,
let's,vamos,
doesn't,no,
call,llamar,
told,dijo,
great,excelente,
before,antes,
better,mejor,
ever,alguna vez,
night,noche,
than,que,
away,lejos,
first,primero,
believe,creer,
other,otro,
feel,sentir,
everything,todo,
work,trabajar,
you've,tienes,
fine,bien,
home,hogar,
after,después,
last,último,
these,estos,
day,día,
keep,mantener,
does,hace,
put,poner,
around,alrededor,
stop,detener,
they're,ellos son,
I'd,Identificación,
guy,chico,
long,largo,
isn't,no es,
always,siempre,
listen,escuchar,
wanted,buscado,
Mr .,Señor .,
guys,tipo,
huh,eh,
those,aquellos,
big,grande,
lot,lote,
happened,sucedió,
thanks,gracias,
won't,no,
trying,intentando,
kind,amable,
wrong,equivocado,
through,a través de,
talking,hablando,
made,hecho,
new,nuevo,
being,ser,
guess,adivinar,
hi,Hola,
care,cuidado,
bad,malo,
mom,mamá,
remember,recordar,
getting,conseguir,
we'll,Bueno,
together,juntos,
dad,papá,
leave,dejar,
mother,madre,
place,lugar,
understand,entender,
wouldn't,no,
actually,de hecho,
hear,escuchar,
baby,bebé,
nice,lindo,
father,padre,
else,demás,
stay,permanecer,
done,hecho,
wasn't,no,
their,su,
course,curso,
might,podría,
mind,mente,
every,cada,
enough,suficiente,
try,intentar,
hell,infierno,
came,vino,
someone,alguien,
you'll,tu,
own,propio,
family,familia,
whole,entero,
another,otro,
house or House,casa o casa,
Jack or jack,Jack o Jack,
yourself,tú mismo,
idea,idea,
ask,preguntar,
best,mejor,
must,debe,
coming,próximo,
old,viejo,
looking,mirando,
woman,mujer,
hello,Hola,
which,cual,
years,años,
room,habitación,
money,dinero,
left,izquierda,
knew,sabía,
tonight,esta noche,
real,real,
son,hijo,
hope,esperanza,
name,nombre,
same,mismo,
went,fue,
um,um,
hmm,Mmm,
happy,feliz,
pretty,bonito,
saw,sierra,
girl,chica,
sir,Señor,
show,espectáculo,
friend,amigo,
already,ya,
saying,dicho,
may or May,puede o puede,
next,próximo,
three,tres,
job,trabajo,
problem,problema,
minute,minuto,
found,encontró,
world,mundo,
thinking,pensamiento,
haven't,no,
heard,escuchó,
honey,Miel,
matter,asunto,
myself,mí mismo,
couldn't,no pude,
exactly,exactamente,
having,teniendo,
ah,ahorcado,
probably,probablemente,
happen,suceder,
we've,tenemos,
hurt,herir,
boy,chico,
both,ambos,
while,mientras,
dead,muerto,
gotta,tengo que,
alone,solo,
since,desde,
excuse,disculpar,
start,comenzar,
kill,matar,
hard,duro,
you'd,tú,
today,hoy,
car,auto,
ready,listo,
until,hasta,
without,sin,
whatever,lo que,
wants,quiere,
hold,sostener,
wanna,querer,
yet,todavía,
seen,visto,
deal,trato,
took,tomó,
once,una vez,
gone,desaparecido,
called,llamado,
morning,mañana,
supposed,supuesto,
friends,amigos,
head,cabeza,
stuff,cosa,
most,mayoría,
used,usado,
worry,preocuparse,
second,segundo,
part,parte,
live,vivir,
truth,verdad,
school,escuela,
face,rostro,
forget,olvidar,
TRUE,VERDADERO,
business,negocio,
each,cada,
cause,causa,
soon,pronto,
knows,saber,
few,pocos,
telling,narración,
wife,esposa,
who's,Quién es,
use,usar,
chance,oportunidad,
run,correr,
move,mover,
anyone,alguien,
person,persona,
bye,adiós,
J .,J.,
somebody,alguien,
Dr . or dr .,Dr . o dr.,
heart,corazón,
such,semejante,
miss,extrañar,
married,casado,
point,punto,
later,más tarde,
making,haciendo,
meet,encontrarse,
anyway,de todos modos,
many,muchos,
phone,teléfono,
reason,razón,
damn,maldición,
lost,perdido,
looks,aspecto,
bring,traer,
case,caso,
turn,doblar,
wish,desear,
tomorrow,mañana,
kids,niños,
trust,confianza,
check,controlar,
change,cambiar,
end,fin,
late,tarde,
anymore,ya no,
five,cinco,
least,el menos,
town,ciudad,
aren't,no,
ha,Ja,
working,laboral,
year,año,
makes,marcas,
taking,tomando,
means,medio,
brother,hermano,
play,jugar,
hate,odiar,
ago,atrás,
says,dice,
beautiful,hermoso,
gave,dio,
fact,hecho,
crazy,loco,
party,fiesta,
sit,sentarse,
open,abierto,
afraid,asustado,
between,entre,
important,importante,
rest,descansar,
fun,divertido,
kid,niño,
word,palabra,
watch,mirar,
glad,contento,
everyone,todos,
days,días,
sister,hermana,
minutes,minutos,
everybody,todos,
bit,poco,
couple,pareja,
whoa,whoa,
either,cualquiera,
Mrs .,Señora .,
feeling,sentimiento,
daughter,hija,
wow,Guau,
gets,obtiene,
asked,preguntó,
under,bajo,
break,romper,
promise,promesa,
door,puerta,
set,colocar,
close,cerca,
hand,mano,
easy,fácil,
question,pregunta,
doctor,doctor,
tried,intentó,
far,lejos,
walk,caminar,
needs,necesidades,
trouble,problema,
mine,mío,
though,aunque,
times,veces,
different,diferente,
killed,delicado,
hospital,hospital,
anybody,cualquiera,
Sam or SAM,Sam o Sam,
alright,está bien,
wedding,boda,
shut,cerrar,
able,capaz,
die,morir,
perfect,perfecto,
police,policía,
stand,pararse,
comes,llega,
hit,golpear,
story,historia,
ya,ya,
mm,mm,
waiting,espera,
dinner,cena,
against,contra,
funny,divertido,
husband,marido,
almost,casi,
stupid,estúpido,
pay,pagar,
answer,respuesta,
four,cuatro,
office,oficina,
cool,Frío,
eyes,ojos,
news,noticias,
child,niño,
shouldn't,no debería,
half,medio,
side,lado,
yours,tuyo,
moment,momento,
sleep,dormir,
read,leer,
where's,donde esta,
started,comenzó,
young,joven,
men,hombres,
sounds,sonidos,
sonny or Sonny,Sonny o Sonny,
lucky,afortunado,
pick,elegir,
sometimes,a veces,
em,Em,
bed,cama,
also,también,
date,fecha,
line,línea,
plan,plan,
hours,horas,
lose,perder,
fire,fuego,
free,gratis,
hands,manos,
serious,grave,
Leo,León,
shit,mierda,
behind,detrás,
inside,adentro,
high,alto,
ahead,adelante,
week,semana,
wonderful,maravilloso,
T .,T.,
fight,luchar,
past,pasado,
cut,cortar,
quite,bastante,
number,número,
he'll,infierno,
sick,enfermo,
S .,S .,
it'll,lo hará,
game,juego,
eat,comer,
nobody,nadie,
goes,va,
death,muerte,
along,a lo largo de,
save,ahorrar,
seems,parece,
finally,finalmente,
lives,vidas,
worried,preocupado,
upset,decepcionado,
Theresa,Hay una,
Carly,Carloso,
Ethan,Ethan,
met,reunió,
book,libro,
brought,trajo,
seem,parecer,
sort,clasificar,
safe,seguro,
living,viviendo,
children,niños,
weren't,no,
leaving,partida,
front,frente,
shot,disparo,
loved,amado,
asking,preguntando,
running,correr,
clear,claro,
figure,cifra,
hot,caliente,
felt,sintió,
six,seis,
parents,padres,
drink,beber,
absolutely,absolutamente,
how's,como esta,
daddy,papá,
sweet,dulce,
alive,vivo,
Paul,Pablo,
sense,sentido,
meant,quiso decir,
happens,ocurrir,
David,David,
special,especial,
bet,apuesta,
blood,sangre,
ain't,no,
kidding,bromear,
lie,mentir,
full,lleno,
meeting,reunión,
dear,estimado,
coffee,café,
seeing,vidente,
sound,sonido,
fault,falla,
water,agua,
fuck,Mierda,
ten,diez,
women,mujer,
John or john,John o John,
welcome,bienvenido,
buy,comprar,
months,meses,
hour,hora,
speak,hablar,
lady,dama,
Jen,Jen,
thinks,pensamiento,
Christmas,Navidad,
body,cuerpo,
order,orden,
outside,afuera,
hang,colgar,
possible,posible,
worse,peor,
company,compañía,
mistake,error,
ooh,Oh,
handle,manejar,
spend,gastar,
C .,C .,
totally,totalmente,
giving,donación,
control,control,
here's,aquí está,
marriage,casamiento,
realize,darse cuenta,
D .,D .,
power,fuerza,
president,presidente,
unless,a menos que,
sex,sexo,
girls,chicas,
send,enviar,
needed,necesario,
O . or o,O. o o,
taken,tomado,
died,fallecido,
scared,asustado,
picture,imagen,
talked,habló,
Jake,Jake,
Al,Alabama,
ass,culo,
hundred,centenar,
changed,cambió,
completely,completamente,
explain,explicar,
playing,jugando,
certainly,ciertamente,
sign,firmar,
boys,Niños,
relationship,relación,
Michael,Miguel,
loves,ama,
fucking,maldito,
hair,cabello,
lying,mintiendo,
choice,elección,
anywhere,en cualquier lugar,
secret,secreto,
future,futuro,
weird,extraño,
luck,suerte,
she'll,caparazón,
Max or max .,Max o Máx.,
Luis,Luis,
turned,transformado,
known,conocido,
touch,tocar,
kiss,beso,
Crane or crane,Grúa o grúa,
questions,preguntas,
obviously,obviamente,
wonder,preguntarse,
pain,dolor,
calling,vocación,
somewhere,en algún lugar,
throw,tirar,
straight,derecho,
Grace or grace,Gracia o gracia,
cold,frío,
white or White,blanco o blanco,
fast,rápido,
Natalie,Natalie,
words,palabras,
R .,R.,
food,alimento,
none,ninguno,
drive,conducir,
feelings,sentimientos,
they'll,ellos,
worked,trabajó,
marry,casar,
light,luz,
test,prueba,
drop,gota,
cannot,no puedo,
Frank,Franco,
sent,enviado,
city,ciudad,
dream,sueño,
protect,proteger,
twenty,veinte,
class,clase,
Lucy,Lucy,
surprise,sorpresa,
its,es,
sweetheart,cariño,
forever,para siempre,
poor,pobre,
looked,miró,
mad,enojado,
except,excepto,
gun,pistola,
y'know,ya sabes,
dance,bailar,
takes,acepta,
appreciate,agradecer,
especially,especialmente,
situation,situación,
besides,además,
weeks,semanas,
pull,jalar,
himself,él mismo,
hasn't,no,
act,acto,
worth,valer,
Sheridan,Sheridan,
amazing,asombroso,
top,arriba,
given,dado,
expect,esperar,
Ben,Ben,
rather,bastante,
Julian,Julian,
involved,involucrado,
swear,jurar,
piece,pedazo,
busy,ocupado,
law,ley,
decided,decidido,
black or Black,negro o negro,
Joey,Joey,
happening,sucediendo,
movie,película,
we'd,casarse,
catch,atrapar,
Antonio,Antonio,
country,país,
less,menos,
perhaps,tal vez,
step,paso,
fall,caer,
watching,mirando,
kept,conservó,
darling,querida,
dog,perro,
Ms .,EM .,
win,ganar,
air,aire,
honor,honor,
personal,personal,
moving,Moviente,
till,hasta,
admit,admitir,
problems,problemas,
murder,asesinato,
strong,fuerte,
he'd,El,
evil,demonio,
definitely,definitivamente,
feels,siente,
information,información,
honest,honesto,
eye,ojo,
broke,en bancarrota,
missed,omitido,
longer,más extenso,
dollars,dólares,
tired,cansado,
Jason,Jasón,
George,Jorge,
evening,noche,
human,humano,
starting,a partir de,
Ross,Ross,
red,rojo,
entire,completo,
trip,viaje,
Brooke,Brooke,
E .,E.,
club,club,
Niles,Niles,
suppose,suponer,
calm,calma,
imagine,imaginar,
Todd,TODD,
fair,justo,
caught,atrapó,
B .,B .,
blame,culpa,
street,calle,
sitting,sesión,
favor,favor,
apartment,departamento,
court,corte,
terrible,horrible,
clean,limpio,
Tony or tony,Tony o Tony,
learn,aprender,
Alison,Alison,
Rick,Almiar,
works,obras,
Rose or rose,Rosa o rosa,
Frasier,Frasero,
relax,relajarse,
York,York,
million,millón,
charity,caridad,
accident,accidente,
wake,despertar,
prove,probar,
Danny,Danny,
smart,elegante,
message,mensaje,
missing,desaparecido,
forgot,olvidó,
small,pequeño,
interested,interesado,
table,mesa,
nbsp,NBSP,
become,convertirse,
Craig,Craig,
mouth,boca,
pregnant,embarazada,
middle,medio,
Billy or billy,Billy o Billy,
ring,anillo,
careful,cuidadoso,
shall,deberá,
dude,dudar,
team,equipo,
ride,conducir,
figured,figurado,
wear,tener puesto,
shoot,disparar,
stick,palo,
Ray or ray,Ray o Ray,
follow,seguir,
Bo,Bo,
angry,enojado,
instead,en cambio,
buddy,compañero,
write,escribir,
stopped,interrumpido,
early,temprano,
Angel or angel,Ángel o ángel,
Nick or nick,Nick o Nick,
ran,corrió,
war,guerra,
standing,de pie,
forgive,perdonar,
jail,celda,
wearing,agotador,
Miguel,Miguel,
ladies,señoras,
kinda,un poco,
lunch,almuerzo,
Cristian,Cristiano,
eight,ocho,
Greenlee,Greenlee,
gotten,recogido,
hoping,esperando,
Phoebe,Phoebe,
thousand,mil,
ridge,cresta,
music,música,
Luke,Luque,
paper,papel,
tough,difícil,
tape,cinta,
Emily,Emily,
state,estado,
count,contar,
college,colega,
boyfriend,novio,
proud,orgulloso,
agree,aceptar,
birthday,cumpleaños,
bill,factura,
seven,Siete,
they've,ellos tienen,
Timmy,Timmy,
history,historia,
share,compartir,
offer,oferta,
hurry,apurarse,
ow,Ay,
feet,pies,
wondering,preguntarse,
simple,simple,
decision,decisión,
building,edificio,
ones,unos,
finish,finalizar,
voice,voz,
herself,sí misma,
Chris,Chris,
would've,lo haría,
list,lista,
Kay,Kay,
mess,desorden,
deserve,merecer,
evidence,evidencia,
cute,lindo,
Jerry,alemán,
dress,vestido,
Richard,Ricardo,
interesting,interesante,
Jesus,Jesús,
James,Jaime,
hotel,hotel,
enjoy,disfrutar,
Ryan,Ryan,
Lindsay,Lindsay,
quiet,tranquilo,
concerned,preocupado,
road,camino,
Eve or eve,Eva o Eva,
staying,estancia,
short,corto,
M .,M.,
beat,derrotar,
sweetie,cariño,
mention,mencionar,
clothes,ropa,
finished,finalizado,
fell,cayó,
neither,ni,
mmm,mmm,
fix,arreglar,
Victor or victor,Victor o Victor,
respect,respeto,
spent,gastado,
prison,prisión,
attention,atención,
holding,tenencia,
calls,llamadas,
near,cerca,
surprised,sorprendido,
bar,bar,
Beth,Beth,
pass,aprobar,
keeping,acuerdo,
gift,regalo,
hadn't,no,
putting,poniendo,
dark,oscuro,
self,ser,
owe,deber,
using,usando,
Nora,Nora,
ice,hielo,
helping,Ayudar,
bitch,perra,
normal,normal,
aunt,tía,
lawyer,abogado,
apart,aparte,
certain,cierto,
plans,planes,
Jax,Jax,
girlfriend,novia,
floor,piso,
whether,si,
everything 's,todo el de todo,
present,presente,
earth,tierra,
private,privado,
Jessica,Jessica,
box,caja,
Dawson,Dawson,
cover,cubrir,
judge,juez,
upstairs,piso superior,
Alexis,Alexis,
Shawn,Shawn,
sake,beneficio,
mommy,mami,
possibly,posiblemente,
worst,el peor,